1. Пол,2. Возраст,3. Образование,4. Наличие брака,5. Средний доход за месяц,6. Членство в молодёжной организации,7. Посещение мероприятий культурной направленности,8. Посещение мероприятий политической направленности,9. Посещение мероприятий развлекательной направленности
Мужской,21-23,Среднее общее,Нет,Нет,Нет,Редко,Редко,Редко
Мужской,18-20,Среднее общее,Нет,Нет,Да,Часто,Редко,Часто
Мужской,27-29,Высшее,Нет,Нет,Нет,Редко,Постоянно,Редко
Мужской,33-35,Высшее,Да,32000,Нет,Часто,Постоянно,Редко
Мужской,27-29,Высшее,Нет,33000,Нет,Постоянно,Часто,Постоянно
Мужской,24-26,Высшее,Нет,17000,Нет,Часто,Постоянно,Постоянно
Мужской,24-26,Высшее,Нет,35000,Нет,Постоянно,Постоянно,Редко
Мужской,21-23,Высшее,Нет,Нет,Нет,Редко,Часто,Редко
Мужской,33-35,Среднее профессиональное,Да,58000,Да,Редко,Часто,Редко
Мужской,33-35,Высшее,Нет,46000,Нет,Часто,Редко,Часто
Мужской,30-32,Среднее профессиональное,Да,39000,Да,Часто,Часто,Часто
Мужской,24-26,Среднее профессиональное,Нет,34000,Да,Часто,Часто,Часто
Мужской,30-32,Высшее,Нет,Нет,Да,Часто,Постоянно,Часто
Женский,21-23,Среднее общее,Нет,Нет,Нет,Редко,Часто,Редко
Женский,33-35,Высшее,Да,46000,Нет,Редко,Часто,Редко
Женский,21-23,Высшее,Нет,Нет,Нет,Часто,Редко,Редко
Женский,21-23,Среднее общее,Нет,18000,Нет,Никогда,Постоянно,Никогда
Мужской,21-23,Среднее общее,Нет,Нет,Нет,Часто,Постоянно,Часто
Женский,21-23,Среднее общее,Нет,Нет,Да,Редко,Редко,Часто
Мужской,21-23,Среднее общее,Нет,18000,Нет,Часто,Часто,Часто
Женский,18-20,Среднее общее,Нет,Нет,Нет,Редко,Никогда,Никогда
Женский,21-23,Среднее общее,Нет,Нет,Нет,Часто,Редко,Часто
Женский,18-20,Среднее общее,Нет,Нет,Нет,Редко,Часто,Редко
Женский,24-26,Высшее,Нет,Нет,Нет,Часто,Часто,Часто
Мужской,18-20,Среднее общее,Нет,Нет,Нет,Часто,Постоянно,Часто
Женский,18-20,Среднее общее,Нет,Нет,Нет,Редко,Редко,Редко
Женский,21-23,Среднее общее,Нет,Нет,Нет,Редко,Часто,Редко
Женский,21-23,Высшее,Да,17000,Нет,Редко,Редко,Редко
Женский,21-23,Среднее общее,Нет,20000,Да,Редко,Редко,Часто
Женский,18-20,Среднее общее,Нет,Нет,Да,Редко,Редко,Часто
Женский,18-20,Среднее общее,Нет,Нет,Нет,Редко,Часто,Редко
Женский,18-20,Среднее общее,Нет,Нет,Да,Часто,Часто,Часто
Женский,18-20,Среднее общее,Нет,Нет,Нет,Часто,Часто,Часто
Женский,18-20,Среднее общее,Нет,Нет,Нет,Часто,Редко,Редко
Женский,18-20,Среднее общее,Нет,Нет,Нет,Часто,Часто,Часто
Женский,21-23,Среднее общее,Нет,Нет,Да,Никогда,Никогда,Никогда
Женский,21-23,Среднее общее,Нет,Нет,Нет,Редко,Часто,Никогда
Мужской,21-23,Среднее общее,Нет,Нет,Нет,Редко,Часто,Часто
Мужской,18-20,Среднее общее,Нет,Нет,Нет,Редко,Часто,Редко
Женский,18-20,Среднее общее,Нет,Нет,Да,Часто,Часто,Часто
Женский,24-26,Среднее профессиональное,Нет,Нет,Да,Постоянно,Постоянно,Постоянно
Мужской,27-29,Среднее профессиональное,Да,15000,Нет,Часто,Часто,Постоянно
Мужской,27-29,Среднее профессиональное,Да,38000,Нет,Постоянно,Часто,Часто
Мужской,27-29,Среднее профессиональное,Нет,36000,Да,Часто,Редко,Часто
Мужской,27-29,Среднее профессиональное,Да,24000,Да,Редко,Постоянно,Редко
Мужской,27-29,Высшее,Нет,33000,Да,Часто,Часто,Редко
Мужской,27-29,Высшее,Нет,22000,Нет,Редко,Часто,Часто
Мужской,27-29,Высшее,Нет,Нет,Нет,Часто,Часто,Часто
Женский,27-29,Среднее общее,Да,Нет,Нет,Редко,Постоянно,Редко
Женский,27-29,Среднее профессиональное,Нет,22000,Нет,Никогда,Редко,Редко
Женский,27-29,Среднее профессиональное,Нет,27000,Нет,Никогда,Редко,Никогда
Мужской,30-32,Среднее профессиональное,Да,38000,Нет,Редко,Часто,Никогда
Мужской,30-32,Среднее профессиональное,Да,19000,Нет,Никогда,Часто,Редко
Мужской,30-32,Среднее профессиональное,Да,19000,Нет,Часто,Постоянно,Часто
Мужской,30-32,Среднее профессиональное,Да,22000,Нет,Редко,Часто,Редко
Мужской,30-32,Среднее профессиональное,Да,22000,Да,Часто,Постоянно,Часто
Мужской,30-32,Высшее,Нет,25000,Нет,Часто,Часто,Редко
Мужской,30-32,Высшее,Нет,Нет,Нет,Часто,Постоянно,Часто
Женский,30-32,Среднее общее,Да,Нет,Нет,Постоянно,Редко,Редко
Женский,30-32,Высшее,Нет,25000,Нет,Часто,Часто,Часто
Женский,30-32,Среднее общее,Да,Нет,Нет,Постоянно,Редко,Постоянно
Женский,24-26,Высшее,Да,20000,Нет,Редко,Часто,Часто
Женский,24-26,Высшее,Да,19000,Нет,Редко,Редко,Постоянно
Женский,24-26,Среднее профессиональное,Нет,19000,Нет,Редко,Постоянно,Часто
Женский,24-26,Высшее,Нет,23000,Нет,Редко,Часто,Редко
Женский,24-26,Высшее,Да,Нет,Нет,Часто,Постоянно,Редко
Женский,24-26,Высшее,Да,Нет,Нет,Часто,Редко,Часто
Мужской,24-26,Среднее профессиональное,Нет,22000,Нет,Часто,Постоянно,Часто
Мужской,24-26,Среднее профессиональное,Да,Нет,Нет,Часто,Редко,Редко
Мужской,24-26,Среднее профессиональное,Нет,Нет,Да,Никогда,Никогда,Никогда
Мужской,24-26,Среднее общее,Нет,22000,Да,Постоянно,Никогда,Постоянно
Женский,33-35,Среднее общее,Нет,21000,Нет,Постоянно,Постоянно,Никогда
Женский,33-35,Среднее общее,Нет,25000,Нет,Постоянно,Постоянно,Никогда
Женский,33-35,Среднее профессиональное,Да,29000,Нет,Постоянно,Часто,Никогда
Женский,33-35,Среднее профессиональное,Да,29000,Нет,Редко,Часто,Редко
Женский,33-35,Высшее,Да,Нет,Нет,Редко,Постоянно,Редко
Женский,33-35,Высшее,Да,28000,Нет,Редко,Редко,Редко
Мужской,33-35,Среднее профессиональное,Да,44000,Нет,Часто,Постоянно,Никогда
Мужской,33-35,Высшее,Да,34000,Нет,Часто,Редко,Часто
Мужской,33-35,Среднее профессиональное,Да,15000,Нет,Часто,Никогда,Редко
Мужской,33-35,Высшее,Да,58000,Нет,Часто,Постоянно,Часто
Женский,21-23,Среднее общее,Да,24000,Нет,Часто,Часто,Часто
Женский,21-23,Среднее общее,Да,16000,Нет,Часто,Постоянно,Постоянно
Женский,18-20,Среднее общее,Да,18000,Нет,Часто,Часто,Часто
Женский,24-26,Среднее профессиональное,Да,20000,Нет,Часто,Часто,Часто
Женский,24-26,Среднее профессиональное,Да,20000,Нет,Постоянно,Постоянно,Постоянно
